cust,day,orgType,price,quantity,secid,tradeId
0,0,airline,98,5817950,Oceanic Airlines,1f93e75a-7d1d-4762-923a-ec7cf11946a2
0,1,Gov,111,8967678,Tatooine,fa14a4b2-4c3d-45b5-8a1d-72cea95d2854
0,2,tech,98,2750218,Umbrella Corp,14765500-7ea4-4e3a-85ee-b7845241caec
0,3,Gov,101,6606725,Tatooine,aa6f5bcf-e87d-46fd-95bb-2b1cd2affa9a
0,4,Gov,99,3987031,Tatooine,948a102e-cd7c-4247-a9cc-b48efe94b8ed
0,5,tech,101,5375689,Umbrella Corp,41b8050d-a2f8-495a-9561-6613fe8866ec
0,6,Gov,94,1274595,Tatooine,49857538-8461-4525-8b08-9cb935524e7c
0,7,Gov,106,2926901,Tatooine,9bf3bffd-f448-4a2f-97a5-bc82e8089d06
0,8,Gov,110,3291836,Tatooine,5c087d83-e8af-4663-8dfc-0f3ac980d80b
0,9,Gov,96,2595682,Tatooine,5cb3e07e-24f3-4b79-a317-47deab411bc9
0,10,Gov,111,2925779,Tatooine,a3be16f7-02e1-4e15-ad0c-2891167a47bd
0,11,Gov,105,7706569,Tatooine,e1efb4d7-6187-4170-bf39-1e34ee50f9de
0,12,Gov,90,7166282,Tatooine,9c05f008-a24e-4a06-901a-475bf2db1acd
0,13,Gov,104,7726184,Tatooine,fd632b1c-0f8c-4b77-834b-3262ad50215b
0,14,Gov,99,5767704,Coruscant,19be1380-fef7-4e8f-8750-ce20c077c7ae
0,15,Gov,100,5418931,First Order,254a6d2f-60a4-4317-bd61-421926e52428
0,16,tech,94,3813119,Umbrella Corp,6742a920-dc7c-40fb-b325-ef76015e4881
0,17,Gov,110,5838202,First Order,28e6fb72-208d-4c03-b95a-2be93958b3d9
0,18,Gov,93,8353839,First Order,25abb8d4-3a98-4fe3-a559-22357eb28bff
0,19,Gov,102,3702738,First Order,05165e64-c21d-4271-bbf5-9674448762ec
0,20,Gov,93,2265357,First Order,b12e479b-7028-47ca-b1e9-ca61615b0ee9
0,21,Gov,119,7558307,First Order,ff72b50f-854e-4ab5-a5a9-bb42f7907485
0,22,Gov,114,6641187,First Order,fe52e771-45d8-4e03-8747-c4a537c3ca20
0,23,Gov,103,1452336,First Order,69e4d5fd-8c2f-40bd-8afe-74f2f12d7001
0,24,Gov,119,4702157,First Order,8db05c54-02ff-454c-8e4b-538e25a37c5d
0,25,Gov,110,2614558,First Order,3e2ccf96-e27b-42f3-91f8-81a913fefa05
0,26,Gov,119,5212411,New Republic,3c30ac4e-48ea-4df6-9022-fd355160508a
0,27,Gov,100,2359151,Tatooine,0f3c5392-068d-479c-afad-f16c08e882cd
0,28,Gov,99,2115693,New Republic,e040e58e-58b4-4a6a-9e26-321c4557e002
0,29,tech,108,6847341,Umbrella Corp,86597e07-17f8-49bc-a933-986f7ee20bf6
0,30,Gov,109,5487574,Gotham,f00e9296-f615-4b41-b084-08eb4723c22d
0,31,Gov,113,1413022,Gotham,6d6b3875-3293-4e46-abda-28ea22f5fa11
0,32,tech,108,7057071,Umbrella Corp,fa7ab44e-5cd2-4ebf-af8d-b3868d3f91e0
0,33,Gov,106,6567725,Gotham,6812fa8c-d9a4-46e7-9a8b-d5eb57dbf913
0,34,Gov,105,7597282,First Order,4a1ffa04-3675-4231-96e0-5025d3419903
0,35,Gov,116,3835681,First Order,f0374726-830f-4531-9a50-4d50759d0273
0,36,Gov,93,5126724,Naboo,86a0927d-4e5c-4a0d-aeaa-95f70b542de3
0,37,tech,102,9299684,Umbrella Corp,268efb71-1bc8-4c49-b92c-788a49051674
0,38,Gov,98,6921439,Naboo,87b31f66-d3f4-47d7-b2ba-ec8c050f397a
0,39,Gov,110,8677951,Tatooine,cc9a74ef-2b9c-436a-9650-63972bf9cc53
0,40,tech,108,3188418,Umbrella Corp,1d967ed1-49a1-4c1b-84d7-80ec85813248
0,41,Gov,90,5006425,First Order,7a12af68-e743-4101-9eab-3ee4503df2fe
0,42,Gov,115,1718244,First Order,1841069b-1e76-4ede-a624-4f11285ab9e3
0,43,Gov,99,1007511,First Order,66943ab3-0988-4a1c-b8c4-521ea2be29bb
0,44,tech,112,9511474,Umbrella Corp,a9dcfbbc-bb29-49d9-8ff3-fc16b9451eaa
0,45,Gov,103,4435440,First Order,a37f8b89-bf8b-4e9b-8b9c-ee19c80b8f5b
0,46,Gov,105,8429421,New Republic,ca5945ee-f446-4b5d-a182-ee6007587564
0,47,Gov,101,3727425,New Republic,2139f099-4308-440b-9efd-ec8ea0a34060
0,48,Gov,96,7419462,New Republic,e6589a64-0c81-4707-87af-61a4674107b9
0,49,Gov,92,2181323,New Republic,2c88c191-99a5-41b1-ba88-339a6366047b
0,50,Gov,94,8364667,New Republic,89a9242e-43d8-40b8-b478-6f475f9ddbf5
0,51,tech,99,9636799,Umbrella Corp,ae4e9080-2b60-4706-ab83-c91451141218
0,52,Gov,97,4567961,New Republic,66380324-d781-479f-8386-b885d99a37ff
0,53,Gov,97,3295103,New Republic,81086fc0-6a09-4360-a465-2ced69f443d4
0,54,Gov,111,9101512,First Order,baa90bc3-70df-48fd-85e4-bddd3c8f5367
0,55,Gov,112,5953972,First Order,c4f125f1-5030-46af-9eca-2f4d9bf898a2
0,56,Gov,101,7296855,First Order,05640db0-53a3-4f06-bfd4-0c649f0ebf6b
0,57,Gov,119,8448160,New Republic,74a9bc6b-a84a-4d06-9587-28e682837bb6
0,58,Gov,111,4545840,New Republic,27b5a13d-96b9-494d-b239-769d8f2e5f1d
0,59,Gov,118,8095274,New Republic,0340af49-d158-428f-bf76-1c853420027c
0,60,Gov,101,2032315,New Republic,c3480481-d319-4024-a91d-b64a8cb05acc
0,61,tech,98,1943031,Umbrella Corp,ff6005cd-dc15-491c-9874-42e5691d1ff4
0,62,tech,93,5031105,Umbrella Corp,9fb179fc-3946-4b87-964b-c80e97d578b6
0,63,Gov,91,7821930,Naboo,dadced5f-9f30-43d9-a1b8-0a4e3040d015
0,64,Gov,113,8441396,Naboo,f0b7c527-2d20-4596-aef5-e43dd5ffff26
0,65,Gov,107,9937559,Naboo,6cd770a5-55b8-4085-8318-5bc8aaa6c888
0,66,Gov,94,8899434,Naboo,d145f094-4833-4238-837d-c2d10452a798
0,67,tech,92,3098161,Umbrella Corp,7de227ac-7e73-4d58-962b-48e7e62be739
0,68,Gov,116,8949113,Naboo,6b909288-596b-4cee-9c47-55df93a92661
0,69,Gov,97,3620411,Tatooine,402f83ed-aea2-471f-9101-1a38306e85cc
0,70,Gov,114,4357498,Tatooine,211ddc3d-335f-445e-b564-af2d834067a8
0,71,Gov,105,2116986,Tatooine,ce2b2138-7bc5-4d42-8f46-ae116420c5dc
0,72,Gov,91,5131289,New Republic,9173ceec-bc1d-4d20-bb8b-82048cdb9d1b
0,73,Gov,93,6359405,New Republic,665c8508-fbf5-4fe4-9874-90adac371eed
0,74,tech,112,1753817,Umbrella Corp,18fbc3fa-4026-40e7-b78e-bb1c8dc1cdf9
0,75,Gov,101,3452429,New Republic,91c53af4-0bed-455f-8581-10d20510ae6a
0,76,Gov,91,6414234,New Republic,543448c0-6535-409b-ac22-8d9e7cadaad2
0,77,Gov,112,2714211,New Republic,58b480ff-26c9-488c-91de-faccd696115e
0,78,Gov,90,3170298,New Republic,b22bf789-c34b-4580-88ca-bba53168bd2e
0,79,Gov,119,8352832,New Republic,cd907a99-58f2-458c-91e0-0547e1ffd82d
0,80,Gov,97,1730932,New Republic,dab01081-517d-47c4-ad2b-77000709a49a
0,81,Gov,118,7835968,New Republic,70e661e3-719b-4079-aa1a-9208c8053c1c
0,82,Gov,113,1757345,New Republic,e60c11f0-a745-4f2c-ac12-631d01d02b83
